"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","01-Jun-2017","        326.45","        325.50","        325.65","        316.75","        319.90","        320.10","        321.21","   18075966","          5806150205.00","     118895","    9676792","         53.53"
"ICICIBANK","EQ","02-Jun-2017","        320.10","        322.00","        322.95","        315.65","        318.00","        318.15","        318.37","   12245022","          3898388272.65","      90718","    6115188","         49.94"
"ICICIBANK","EQ","05-Jun-2017","        318.15","        318.50","        321.65","        318.15","        319.55","        319.75","        320.03","    8937594","          2860320198.40","      67308","    4931519","         55.18"
"ICICIBANK","EQ","06-Jun-2017","        319.75","        320.55","        321.05","        317.70","        318.80","        318.95","        318.67","    9779283","          3116377940.75","      64327","    6285074","         64.27"
"ICICIBANK","EQ","07-Jun-2017","        318.95","        321.05","        325.95","        320.75","        324.95","        324.70","        323.82","   13705491","          4438156764.70","     144130","    6389543","         46.62"
"ICICIBANK","EQ","08-Jun-2017","        324.70","        325.90","        327.00","        319.50","        319.80","        320.20","        321.39","   18300293","          5881458048.80","      97471","   11773561","         64.34"
"ICICIBANK","EQ","09-Jun-2017","        320.20","        318.95","        323.10","        316.10","        322.00","        322.15","        320.38","    9263914","          2967941891.80","      55100","    4033351","         43.54"
"ICICIBANK","EQ","12-Jun-2017","        322.15","        320.00","        320.70","        314.85","        316.80","        315.75","        317.23","    9433558","          2992640215.25","      83057","    5906701","         62.61"
"ICICIBANK","EQ","13-Jun-2017","        315.75","        315.05","        318.70","        313.90","        314.50","        314.85","        316.63","    8459560","          2678520714.05","      79099","    4819699","         56.97"
"ICICIBANK","EQ","14-Jun-2017","        314.85","        319.10","        322.40","        315.40","        319.00","        319.05","        318.29","   20240274","          6442341597.85","     129097","   10418556","         51.47"
"ICICIBANK","EQ","15-Jun-2017","        319.05","        319.00","        319.40","        315.70","        316.35","        316.75","        317.27","   10187596","          3232247622.50","      80733","    6973465","         68.45"
"ICICIBANK","EQ","16-Jun-2017","        316.75","        318.45","        319.25","        315.65","        316.30","        316.50","        316.70","   21116941","          6687779244.80","     121024","   16608502","         78.65"
"ICICIBANK","EQ","19-Jun-2017","        316.50","        318.00","        321.70","        317.05","        320.75","        320.60","        318.93","    9745281","          3108092639.50","      79310","    5895082","         60.49"
"ICICIBANK","EQ","20-Jun-2017","        320.60","        290.75","        295.40","        288.00","        292.30","        292.45","        292.98","   16849368","          4936596049.55","     105710","    7496159","         44.49"
